Datetime,Instrument,IBSymbol,LocalSymbol,ContractMonth,Expiry,Exchange,Currency,Multiplier,TradingClass,ConId,SecType,Open,High,Low,Close,Volume,Average,BarCount
2024-11-01 01:15:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19171.0,19185.0,19169.0,19179.0,90.0,19173.0,35
2024-11-01 01:16:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19178.0,19178.0,19169.0,19170.0,12.0,19173.5,8
2024-11-01 01:17:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19170.0,19170.0,19170.0,19170.0,1.0,19170.0,1
2024-11-01 01:18:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19163.0,19175.0,19163.0,19175.0,11.0,19172.4,5
2024-11-01 01:19:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19172.0,19175.0,19172.0,19175.0,3.0,19173.0,2
2024-11-01 01:20:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19178.0,19184.0,19178.0,19184.0,10.0,19180.6,8
2024-11-01 01:21:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19185.0,19185.0,19185.0,19185.0,1.0,19185.0,1
2024-11-01 01:22:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19177.0,19177.0,19175.0,19175.0,5.0,19176.0,3
2024-11-01 01:23:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19181.0,19181.0,19180.0,19180.0,5.0,19180.4,3
2024-11-01 01:24:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19184.0,19184.0,19184.0,19184.0,1.0,19184.0,1
2024-11-01 01:25:00,FDAX,DAX,FDAX DEC 24,202412,20241220,EUREX,EUR,25,FDAX,540729684,FUT,19184.0,19184.0,19184.0,19184.0,0.0,19184.0,0
